casos;tos;dolor de garganta;fiebre;cansancio;dolor de cabeza;tengo covid;sintomas covid;test covid;prediction;fecha;Prediction 2
2065.0;8.0;4.0;20.0;5.0;14.0;1.0;38.0;16.0;6.837.938.208.234.880;17/7/20;6838
1839.0;5.0;8.0;29.0;8.0;13.0;4.0;27.0;20.0;2.342.908.064.723.720;18/7/20;2343
1642.0;12.0;9.0;25.0;9.0;13.0;6.0;31.0;12.0;5.122.100.779.595.780;19/7/20;5122
2400.0;7.0;8.0;23.0;12.0;11.0;6.0;29.0;23.0;37.408.186.230.452.600;20/7/20;37408
2413.0;7.0;5.0;24.0;12.0;11.0;6.0;35.0;31.0;6.207.333.986.113.270;21/7/20;6207
2466.0;7.0;7.0;24.0;9.0;19.0;3.0;39.0;23.0;5.999.170.800.853.080;22/7/20;5999
2314.0;7.0;8.0;25.0;5.0;17.0;4.0;39.0;27.0;81.744.716.339.265.500;23/7/20;81745
2541.0;11.0;9.0;24.0;7.0;11.0;3.0;42.0;21.0;7.663.695.612.840.750;24/7/20;7664
2131.0;9.0;5.0;21.0;11.0;10.0;7.0;40.0;25.0;8.207.713.086.534.090;25/7/20;8208
1982.0;8.0;8.0;37.0;6.0;12.0;5.0;42.0;23.0;6.419.757.247.207.230;26/7/20;6420
3046.0;8.0;9.0;22.0;7.0;12.0;2.0;39.0;27.0;6.895.593.076.169.320;27/7/20;6896
3165.0;7.0;6.0;25.0;8.0;10.0;6.0;46.0;22.0;8.344.430.977.963.340;28/7/20;8344
3272.0;8.0;7.0;30.0;7.0;17.0;2.0;33.0;27.0;5.117.625.708.707.320;29/7/20;5118
3142.0;10.0;4.0;32.0;7.0;16.0;8.0;45.0;42.0;12.519.862.338.735.600;30/7/20;12520
3634.0;6.0;10.0;37.0;6.0;7.0;3.0;38.0;30.0;4.582.860.545.717.900;31/7/20;4583
3740.0;7.0;7.0;20.0;5.0;15.0;4.0;48.0;22.0;9.997.441.187.634.480;1/8/20;9997
2861.0;10.0;3.0;32.0;5.0;15.0;9.0;44.0;15.0;10.109.256.890.546.600;2/8/20;10109
4155.0;6.0;6.0;27.0;8.0;17.0;3.0;50.0;23.0;7.717.436.753.612.660;3/8/20;7717
4724.0;12.0;5.0;28.0;8.0;19.0;7.0;53.0;24.0;1.205.548.528.396.800;4/8/20;1206
4645.0;12.0;7.0;20.0;10.0;20.0;6.0;58.0;21.0;12.328.287.894.974.400;5/8/20;12328
4628.0;6.0;9.0;34.0;5.0;15.0;6.0;60.0;30.0;11.328.746.178.783.600;6/8/20;11329
5380.0;9.0;5.0;27.0;5.0;15.0;6.0;71.0;24.0;1.520.527.934.812.610;7/8/20;1521
4268.0;7.0;11.0;31.0;4.0;14.0;6.0;57.0;20.0;10.288.663.534.720.100;8/8/20;10289
4075.0;10.0;10.0;38.0;8.0;14.0;5.0;64.0;26.0;1.034.616.246.385.730;9/8/20;1035
