casos,tos,dolor de garganta,fiebre,cansancio,dolor de cabeza,tengo covid,sintomas covid,test covid,prediction,fecha
463.0,8.0,9.0,29.0,5.0,19.0,2.0,13.0,8.0,-314.11047321131855,5/7/20
754.0,5.0,3.0,26.0,7.0,14.0,3.0,15.0,20.0,1390.0335181435998,6/7/20
834.0,6.0,5.0,22.0,3.0,10.0,3.0,14.0,15.0,2611.054178325779,7/7/20
945.0,6.0,3.0,26.0,6.0,15.0,2.0,16.0,12.0,887.4966718365631,8/7/20
957.0,9.0,5.0,20.0,7.0,14.0,1.0,15.0,13.0,1527.7322354969292,9/7/20
1179.0,7.0,3.0,23.0,9.0,13.0,1.0,17.0,15.0,496.985973089598,10/7/20
916.0,8.0,2.0,23.0,10.0,8.0,1.0,13.0,9.0,-1235.4321036516021,11/7/20
897.0,8.0,6.0,20.0,5.0,14.0,1.0,17.0,11.0,1988.0322938459717,12/7/20
1439.0,7.0,5.0,27.0,7.0,13.0,5.0,14.0,16.0,1627.3703311003924,13/7/20
1561.0,5.0,4.0,26.0,7.0,10.0,1.0,13.0,19.0,-294.70563470650984,14/7/20
1888.0,7.0,7.0,19.0,10.0,13.0,2.0,27.0,19.0,2884.9933552130456,15/7/20
1747.0,10.0,4.0,19.0,7.0,10.0,4.0,38.0,8.0,6778.632575542026,16/7/20
2065.0,8.0,4.0,20.0,5.0,14.0,1.0,38.0,16.0,6837.938208234881,17/7/20
1839.0,5.0,8.0,29.0,8.0,13.0,4.0,27.0,20.0,2342.908064723723,18/7/20
1642.0,12.0,9.0,25.0,9.0,13.0,6.0,31.0,12.0,5122.100779595783,19/7/20
2400.0,7.0,8.0,23.0,12.0,11.0,6.0,29.0,23.0,3740.8186230452634,20/7/20
2413.0,7.0,5.0,24.0,12.0,11.0,6.0,35.0,31.0,6207.333986113274,21/7/20
2466.0,7.0,7.0,24.0,9.0,19.0,3.0,39.0,23.0,5999.170800853082,22/7/20
2314.0,7.0,8.0,25.0,5.0,17.0,4.0,39.0,27.0,8174.4716339265515,23/7/20
2541.0,11.0,9.0,24.0,7.0,11.0,3.0,42.0,21.0,7663.695612840752,24/7/20
