fecha,casos,tos,dolor de garganta,fiebre,cansancio,dolor de cabeza,suma_keys
13/6/21,2382,24,12,49,17,26,128
14/6/21,3588,38,8,58,20,32,156
15/6/21,3565,27,12,42,17,16,114
16/6/21,3237,33,11,64,15,23,146
17/6/21,2787,20,9,53,22,30,134
18/6/21,2940,25,18,70,12,27,152
19/6/21,2204,36,13,58,9,17,133
20/6/21,2016,33,11,57,15,35,151
21/6/21,2404,23,3,45,20,25,116
22/6/21,2237,22,5,43,30,14,114
23/6/21,1193,27,8,49,11,23,118
24/6/21,1,26,12,48,14,30,130
,,25,12,52,23,32,144
